date,state,fips,cases,deaths,Cases Per Capita,Deaths per capita,,State Population,,
2/25/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/25/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/25/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
2/25/20,Texas,48,10,0, 0.03 , -   ,," 28,995,881 ",,
2/25/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
2/25/20,Washington,53,5,0, 0.07 , -   ,," 7,614,893 ",,
2/25/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/26/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/26/20,California,6,26,0, 0.07 , -   ,," 39,512,223 ",,
2/26/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/26/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/26/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
2/26/20,Texas,48,10,0, 0.03 , -   ,," 28,995,881 ",,
2/26/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
2/26/20,Washington,53,5,0, 0.07 , -   ,," 7,614,893 ",,
2/26/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/27/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/27/20,California,6,26,0, 0.07 , -   ,," 39,512,223 ",,
2/27/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/27/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/27/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
2/27/20,Texas,48,10,0, 0.03 , -   ,," 28,995,881 ",,
2/27/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
2/27/20,Washington,53,5,0, 0.07 , -   ,," 7,614,893 ",,
2/27/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/28/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/28/20,California,6,27,0, 0.07 , -   ,," 39,512,223 ",,
2/28/20,Illinois,17,2,0, 0.02 , -   ,," 12,671,821 ",,
2/28/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/28/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
2/28/20,Oregon,41,1,0, 0.02 , -   ,," 4,217,737 ",,
2/28/20,Texas,48,11,0, 0.04 , -   ,," 28,995,881 ",,
2/28/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
2/28/20,Washington,53,7,0, 0.09 , -   ,," 7,614,893 ",,
2/28/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
2/29/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
2/29/20,California,6,28,0, 0.07 , -   ,," 39,512,223 ",,
2/29/20,Illinois,17,3,0, 0.02 , -   ,," 12,671,821 ",,
2/29/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
2/29/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
2/29/20,Oregon,41,1,0, 0.02 , -   ,," 4,217,737 ",,
2/29/20,Texas,48,11,0, 0.04 , -   ,," 28,995,881 ",,
2/29/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
2/29/20,Washington,53,10,1, 0.13 , 0 ,," 7,614,893 ",,
2/29/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
3/1/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
3/1/20,California,6,33,0, 0.08 , -   ,," 39,512,223 ",,
3/1/20,Florida,12,2,0, 0.01 , -   ,," 21,477,737 ",,
3/1/20,Illinois,17,3,0, 0.02 , -   ,," 12,671,821 ",,
3/1/20,Massachusetts,25,1,0, 0.01 , -   ,," 6,892,503 ",,
3/1/20,Nebraska,31,13,0, 0.67 , -   ,," 1,934,408 ",,
3/1/20,New York,36,1,0, 0.01 , -   ,," 19,453,561 ",,
3/1/20,Oregon,41,2,0, 0.05 , -   ,," 4,217,737 ",,
3/1/20,Rhode Island,44,2,0, 0.19 , -   ,," 1,059,361 ",,
3/1/20,Texas,48,11,0, 0.04 , -   ,," 28,995,881 ",,
3/1/20,Utah,49,1,0, 0.03 , -   ,," 3,205,958 ",,
3/1/20,Washington,53,17,3, 0.22 , 0 ,," 7,614,893 ",,
3/1/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
3/2/20,Arizona,4,1,0, 0.01 , -   ,," 7,278,717 ",,
3/2/20,California,6,38,0, 0.10 , -   ,," 39,512,223 ",,
3/2/20,Florida,12,2,0, 0.01 , -   ,," 21,477,737 ",,
3/2/20,Georgia,13,2,0, 0.02 , -   ,," 10,617,423 ",,
3/2/20,Illinois,17,4,0, 0.03 , -   ,," 12,671,821 ",,
3/2/20,Massachusetts,25,2,0, 0.03 , -   ,," 6,892,503 ",,
